claim_id,claim,negative_label,baseline_label,negative_output,baseline_output,negative_evidence_count,baseline_evidence_count,gold_label,agreement,negative_correct,baseline_correct,improvement,degradation
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that Sean Connery did not write a letter to Steve Jobs refusing to appear in an Apple commercial.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers show that Sean Connery did not write a letter to Steve Jobs refusing to appear in an Apple commercial.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Trump administration did not say Billie Eilish was ""destroying our country and everything we care about,"" but was quoting her speech at the 2020 Democratic National Convention.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The claim is refuted. According to the QA pairs, the Trump administration did not accuse Billie Eilish of ""destroying our country"" in leaked documents. The Washington Post story was also wrong in claiming the Trump administration accused Billie Eilish of ""destroying our country"" — then spread like wildfire among the entertainment industry. The Trump administration did not say Billie Eilish was ""destroying our country and everything we care about,"" but was quoting her speech at the 2020 Democratic National Convention. Therefore, the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the visas were not cancelled and people were not deported so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the visas were not cancelled so the claim is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
3,UNESCO declared Nadar community as the most ancient race in the world.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence to support the claim so it is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there is no evidence to support the claim so it is refuted.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,Refuted,Not Enough Evidence,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the company was involved in fraud but Matt Gaetz was not.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The company was not found guilty of fraud, and the amount of the settlement is not known.

verdict: 'Not Enough Evidence'",10,10,Refuted,False,True,False,False,True
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,Supported,Conflicting Evidence/Cherrypicking,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the claim is supported.

verdict: 'Supported'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that there are different views on whether Syria is not complying with the Chemical Weapons Convention and whether the media is publishing fabricated information. 

verdict: 'Conflicting Evidence/Cherrypicking'",10,10,Refuted,False,False,False,False,False
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the number of deaths is higher than the claim so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that the number of deaths is higher than the claim so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that Trump did pay $750 in taxes so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&A pairs show that Trump did pay $750 in taxes so the claim is refuted.

verdict: 'Refuted'",10,10,Supported,True,False,False,False,False
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the ballots are counted after the 3rd of November so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The Q&As show that the claim is not correct and that the ballots are counted after the election and that there is no evidence that fraud is a problem with mail in ballots.

verdict: 'Refuted'",10,10,Refuted,True,True,True,False,False
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",Refuted,Refuted,"<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the GDP is not the highest so the claim is refuted.

verdict: 'Refuted'","<|start_header_id|>assistant<|end_header_id|>

justification: The answers and sources show that the GDP is not the highest so the claim is refuted.

verdict: 'Refuted'",10,10,Not Enough Evidence,True,False,False,False,False
